TEAM,CONF,G,W,TORD,ORB,FTR,2P_O,3P_O,YEAR
North Carolina,ACC,40,33,18.2,40.7,32.3,53.9,32.7,2016
Wisconsin,B10,40,36,15.8,32.1,36.2,54.8,36.5,2015
Michigan,B10,40,33,19.5,25.5,30.7,54.7,35.2,2018
Texas Tech,B12,38,31,22.8,27.4,32.9,52.8,36.5,2019
Gonzaga,WCC,39,37,17.1,30,39,56.3,38.2,2017
Kentucky,SEC,40,29,16.1,42,51.8,50,33.2,2014
Michigan,B10,38,30,18.7,32.5,28.4,53.4,37.9,2013
Duke,ACC,39,35,18.6,35.8,39.8,55.9,38.7,2015
Virginia,ACC,38,35,17.5,30.4,29.1,52.5,39.5,2019
North Carolina,ACC,39,33,18.6,41.3,34.3,51,35.5,2017
Villanova,BE,40,35,20.6,28.2,34.1,57.4,36.2,2016
Villanova,BE,40,36,18.2,29.6,29.4,59,40.1,2018
Connecticut,Amer,40,32,19.6,30.4,38.3,48.1,38.7,2014
Louisville,BE,40,35,27,38.2,40,50.8,33.3,2013
Louisville,ACC,36,27,21.3,34.7,38.7,48.4,30.7,2015
Notre Dame,ACC,38,32,17.3,27.9,36.7,58.2,39,2015
Notre Dame,ACC,36,24,14.8,32.7,32.9,52.9,37.4,2016
Virginia,ACC,37,29,18.8,29.9,32.1,52.6,40.3,2016
Duke,ACC,37,29,17.3,38.8,34.6,56,37.2,2018
Florida St.,ACC,35,23,19.4,32.3,37,53.6,35,2018
Duke,ACC,38,32,19.4,35.6,33.2,58,30.8,2019
Purdue,B10,36,26,18.6,34.5,29.9,51.5,37.4,2019
Kansas,B12,37,32,18.5,32.2,38.6,52.7,41.3,2016
Kansas,B12,36,31,18.6,34.1,36,53.6,40.4,2017
Kansas St.,B12,37,25,21.6,25.9,33.8,53.4,34.1,2018
Texas Tech,B12,37,27,21.7,32.9,39.3,51.1,35.9,2018
Xavier,BE,38,24,17.5,34.5,41.1,52,34.5,2017
Arizona,P12,38,34,20.6,34.5,47.1,53.3,36,2015
Oregon,P12,37,30,20.2,34.1,40.3,52.6,34.4,2016
Florida,SEC,36,27,21,32.1,40.2,50.3,35.9,2017
Kentucky,SEC,38,32,19.2,33.5,40.9,52.9,35.3,2017
Kentucky,SEC,37,30,17.9,36.8,41.9,52.9,35.4,2019
Gonzaga,WCC,37,34,17.1,33.9,38.7,57,40,2015
Gonzaga,WCC,37,33,19,31.5,35.3,61.4,36.3,2019
Arizona,P12,38,33,19.1,36.4,41,50.7,36.4,2014
Michigan,B10,37,28,17.1,29.4,34.9,52.7,40.2,2014
Michigan St.,B10,38,29,17.7,32.9,33.7,52.1,39.2,2014
Dayton,A10,37,26,18.8,33.9,40.6,50.4,37.7,2014
Ohio St.,B10,37,29,20.7,31.8,35.5,49.4,35.6,2013
Duke,ACC,36,30,20.4,28.8,39.2,50.8,39.9,2013
Marquette,BE,35,26,19.5,38.4,40.9,51.6,29.6,2013
Florida,SEC,37,29,22.5,34.2,31,54.3,37.8,2013
Syracuse,ACC,37,23,20.4,33.5,35.4,47.2,36,2016
Michigan St.,B10,39,27,16.5,33.5,32.7,50.8,38.5,2015
Michigan St.,B10,39,32,14.9,33.9,33.6,54.3,37.8,2019
Oklahoma,B12,37,29,17.7,31.2,33,48.2,42.2,2016
Kansas,B12,39,31,18.2,29.4,27,55.6,40.1,2018
Loyola Chicago,MVC,37,32,19.4,22.1,32.2,56.6,39.8,2018
Oregon,P12,38,33,19.3,32.4,34.4,54.5,38,2017
Kentucky,SEC,39,38,21.3,39.5,43.9,51.2,34.9,2015
South Carolina,SEC,36,26,24.3,34,40.2,45.9,33.4,2017
Auburn,SEC,39,30,24.6,31.6,30.9,51.7,38.1,2019
Florida,SEC,39,36,21.3,35.3,42.4,51.3,35.9,2014
Wisconsin,B10,38,30,15.3,28.1,42.7,51.3,37.6,2014
Syracuse,BE,40,30,23.6,38.8,36.8,48.5,33.4,2013
Wichita St.,MVC,39,30,20,38,36.5,49.6,33.9,2013
Duquesne,A10,30,11,16,31.7,32.5,49.5,36.2,2015
Fordham,A10,30,9,18.7,33.4,33.1,47.8,29.8,2015
George Mason,A10,30,8,18.5,35.9,41.1,44.9,31.6,2015
George Washington,A10,35,22,18.3,35.5,39.9,47.3,35.2,2015
La Salle,A10,33,17,20.1,29.6,36.4,46.1,32.1,2015
Massachusetts,A10,32,17,17.5,34,42.4,48.4,29.6,2015
Rhode Island,A10,32,22,21.8,32.3,47.3,50.1,30.5,2015
Richmond,A10,35,21,21.1,22.2,32.9,52.8,34,2015
Saint Joseph's,A10,31,13,19,31.5,35.2,45.5,29.9,2015
Saint Louis,A10,31,10,20.9,27.2,41.5,45.2,32,2015
St. Bonaventure,A10,31,18,19.7,35,37.9,47.1,31.4,2015
Davidson,A10,32,19,15.8,24.9,32.3,51.1,35.5,2016
Duquesne,A10,33,16,15.6,27.9,33.6,53.1,36.6,2016
Fordham,A10,30,16,22.4,30.4,33.6,51.2,34.6,2016
George Mason,A10,32,11,10.2,33.5,34.4,45.7,29.2,2016
George Washington,A10,38,28,17.5,34.4,39.1,48.4,37.1,2016
La Salle,A10,30,8,19.1,24.9,30.9,45.4,33.6,2016
Massachusetts,A10,32,14,17.1,25.9,36.5,48.8,33,2016
Rhode Island,A10,32,17,18.8,30.6,37.6,48.3,36.5,2016
Richmond,A10,32,16,18.2,23.2,35.2,55.4,35.6,2016
Saint Louis,A10,32,11,18.5,20.7,37.8,46.9,32.8,2016
St. Bonaventure,A10,31,22,19,31.3,37.5,48.8,37.3,2016
Davidson,A10,32,17,17.1,25.1,31.5,51.9,34.1,2017
Duquesne,A10,32,10,17.6,29,37.1,48.3,33.4,2017
Fordham,A10,31,13,25.6,23.4,26.7,47.4,33.2,2017
George Mason,A10,33,20,14.2,31.6,39.7,48.5,34.2,2017
George Washington,A10,35,20,16.2,32.7,36.6,45.6,37.1,2017
La Salle,A10,30,15,17.7,25.7,38.3,52.4,36.4,2017
Massachusetts,A10,33,15,19.6,28.1,34.6,53.3,29.7,2017
Richmond,A10,35,22,20,20.7,31.6,55.6,34.2,2017
Saint Joseph's,A10,31,11,18,29.8,40.1,45.7,32.4,2017
Saint Louis,A10,33,12,16.9,24.2,34.4,44.3,34.2,2017
St. Bonaventure,A10,32,20,20.9,33,42.4,48.5,34.8,2017
Dayton,A10,31,14,18.4,25.8,31.8,59.5,33.7,2018
Duquesne,A10,32,16,18.4,33,35.4,47.8,35,2018
Fordham,A10,31,9,21.1,18.8,26.9,52.1,28.8,2018
George Mason,A10,33,16,16.1,27.9,31.8,49.1,32.6,2018
George Washington,A10,33,15,17.1,31.7,28.9,50.2,32.1,2018
La Salle,A10,32,13,17.5,25.5,31,48.8,32.9,2018
Massachusetts,A10,33,13,16.5,27.2,25.1,47.9,40,2018
Richmond,A10,32,12,19,23.4,29.7,53.2,33.4,2018
Saint Joseph's,A10,32,16,16.2,23.5,34.6,47.7,33.7,2018
Saint Louis,A10,32,17,18.3,33.8,45.8,46.6,32,2018
VCU,A10,33,18,17.8,29,28.1,52.4,35.2,2018
Davidson,A10,33,24,16.7,23.3,28.3,52.8,35.6,2019
Dayton,A10,33,21,16.8,26.9,32.1,59.5,33.2,2019
Duquesne,A10,32,19,21.6,31.9,35,51.1,32.2,2019
Fordham,A10,31,12,19.1,25.1,24.5,44.7,33,2019
George Mason,A10,33,18,18.2,29,34.2,50.5,33,2019
George Washington,A10,33,9,17.1,23.4,32.6,45.3,31.1,2019
La Salle,A10,31,10,19.8,28.9,28.5,45.3,33.1,2019
Massachusetts,A10,32,11,16.8,31.5,31.3,50.2,35,2019
Rhode Island,A10,33,18,20.2,31.3,36.8,50,28,2019
Richmond,A10,33,13,18.5,19.1,30.7,55.5,34.7,2019
Saint Joseph's,A10,33,14,15.7,22,31.7,47.8,32.2,2019
St. Bonaventure,A10,34,18,19.8,29.2,28.2,47.9,32.8,2019
Boston College,ACC,32,13,18.8,26,35,52.1,32.4,2015
Clemson,ACC,31,16,17.7,34.1,34.4,46.5,29.9,2015
Florida St.,ACC,33,17,18,31.8,46.9,51.4,31.3,2015
Georgia Tech,ACC,31,12,18,38.7,31.1,46.1,26.7,2015
Miami FL,ACC,38,25,17.3,29.5,35.5,47.4,35.8,2015
Pittsburgh,ACC,33,18,17.4,34.3,34.8,48.6,33.6,2015
Syracuse,ACC,31,18,21.1,33.5,35.4,48.3,30,2015
Virginia Tech,ACC,33,11,18.9,26,31.9,47.7,38.9,2015
Wake Forest,ACC,32,13,17.1,31.8,41.5,46.5,33.6,2015
Boston College,ACC,32,7,19.5,21.8,25.9,46.9,32.3,2016
Clemson,ACC,31,17,18,30.3,33.3,49.1,35.2,2016
Florida St.,ACC,34,20,18.9,32.8,37.8,52.1,34.1,2016
Georgia Tech,ACC,36,21,14.6,37.5,31.7,48.4,35.7,2016
Louisville,ACC,31,23,21.6,38.5,31.8,51.9,34.7,2016
North Carolina St.,ACC,33,16,15,36.3,38.9,46.9,34.8,2016
Virginia Tech,ACC,35,20,17.9,30.3,49.4,49.1,34.8,2016
Wake Forest,ACC,31,11,15.2,32.7,43.2,50.4,31.6,2016
Boston College,ACC,32,9,17.2,25.6,29.6,49.1,37.4,2017
Clemson,ACC,33,17,20.1,31.4,34.3,49.8,35.7,2017
Georgia Tech,ACC,36,21,18.8,27.7,35.8,46.9,32.5,2017
North Carolina St.,ACC,32,15,15.6,29.8,36.2,52.4,35.6,2017
Pittsburgh,ACC,33,16,14.3,28.2,39.4,49.6,36.1,2017
Syracuse,ACC,34,19,19.7,31.6,35.1,51.3,37.9,2017
Boston College,ACC,35,19,17.6,30.1,30.7,51.1,35.9,2018
